date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:26:11	361029/361029	---MCZ	200	added ('OK')	text/html	etag:W/%22613eb643-58245%22	https://ads.idntimes.com/index.html	D:/Deskop/Data_Ibnu/Data_Pemrograman/web-scrapper/ads/ads.idntimes.com/index.html	(from )
19:26:11	71/71	---M--	200	added ('OK')	text/plain	etag:%2260d2b8e1-47%22	https://ads.idntimes.com/robots.txt		(from )
19:26:12	3582/3582	---MCZ	200	added ('OK')	text/html	etag:W/%22617f6da1-dfe%22	https://www.idn.media/favicon.png	D:/Deskop/Data_Ibnu/Data_Pemrograman/web-scrapper/ads/www.idn.media/favicon.html	(from https://ads.idntimes.com/index.html)
19:26:12	31000/31000	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:55%20GMT	https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	D:/Deskop/Data_Ibnu/Data_Pemrograman/web-scrapper/ads/stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://ads.idntimes.com/index.html)
19:26:12	19987/19987	---MCZ	200	added ('OK')	application/javascript	etag:W/%22cc904f41324148b571599b3b02fdec0b%22	https://static.zdassets.com/ekr/snippet.js?key=f2202800-da8d-4aa7-9e34-81c020a3ee27	D:/Deskop/Data_Ibnu/Data_Pemrograman/web-scrapper/ads/static.zdassets.com/ekr/snippetf8c4.js	(from https://ads.idntimes.com/index.html)
19:26:13	4255/4255	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d89453438fbf10dcf4c13265c40d5160%22	https://certify-js.alexametrics.com/atrk.js	D:/Deskop/Data_Ibnu/Data_Pemrograman/web-scrapper/ads/certify-js.alexametrics.com/atrk.js	(from https://ads.idntimes.com/index.html)
19:26:13	43/43	---M--	200	added ('OK')	image/gif	etag:%22221d8352905f2c38b3cb2bd191d630b0%22	https://certify.alexametrics.com/atrk.gif?account=8EwHv1FYxz20cv	D:/Deskop/Data_Ibnu/Data_Pemrograman/web-scrapper/ads/certify.alexametrics.com/atrk7b59.gif	(from https://ads.idntimes.com/index.html)
19:26:14	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2021%20Dec%202021%2012:26:14%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/Deskop/Data_Ibnu/Data_Pemrograman/web-scrapper/ads/www.googletagmanager.com/gtm.65445.delayed	(from https://ads.idntimes.com/index.html)
19:26:15	1941/1941	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22617f6d46-795%22	https://www.idn.media/favicon.svg	D:/Deskop/Data_Ibnu/Data_Pemrograman/web-scrapper/ads/www.idn.media/favicon.svg	(from https://www.idn.media/favicon.png)
19:26:15	59344/59344	---MCZ	200	added ('OK')	text/css	etag:W/%22b227b1617a1763c8bc056772f05482b4%22	https://use.fontawesome.com/releases/v5.15.1/css/all.css	D:/Deskop/Data_Ibnu/Data_Pemrograman/web-scrapper/ads/use.fontawesome.com/releases/v5.15.1/css/all.css	(from https://www.idn.media/favicon.png)
19:26:15	2152/2152	---M--	200	added ('OK')	image/png	etag:%22617f6d46-868%22	https://www.idn.media/logo192.png	D:/Deskop/Data_Ibnu/Data_Pemrograman/web-scrapper/ads/www.idn.media/logo192.png	(from https://www.idn.media/favicon.png)
19:26:15	478/478	---MCZ	200	added ('OK')	application/json	etag:W/%22617f6d46-1de%22	https://www.idn.media/manifest.json	D:/Deskop/Data_Ibnu/Data_Pemrograman/web-scrapper/ads/www.idn.media/manifest.json	(from https://www.idn.media/favicon.png)
19:26:19	534820/534820	---MCZ	200	added ('OK')	text/css	etag:W/%22617f6da1-82924%22	https://www.idn.media/static/css/2.621fb9fd.chunk.css	D:/Deskop/Data_Ibnu/Data_Pemrograman/web-scrapper/ads/www.idn.media/static/css/2.621fb9fd.chunk.css	(from https://www.idn.media/favicon.png)
19:26:19	920946/920946	---M-Z	200	added ('OK')	application/javascript	etag:%22607d67fa-e0d72%22	https://cdnjs.cloudflare.com/ajax/libs/antd/4.15.2/antd.min.js	D:/Deskop/Data_Ibnu/Data_Pemrograman/web-scrapper/ads/cdnjs.cloudflare.com/ajax/libs/antd/4.15.2/antd.min.js	(from https://www.idn.media/favicon.png)
19:26:20	548378/548378	---MCZ	200	added ('OK')	text/css	etag:W/%22617f6da1-85e1a%22	https://www.idn.media/static/css/main.8c733b5d.chunk.css	D:/Deskop/Data_Ibnu/Data_Pemrograman/web-scrapper/ads/www.idn.media/static/css/main.8c733b5d.chunk.css	(from https://www.idn.media/favicon.png)
19:26:20	71370/71370	---MCZ	200	added ('OK')	application/javascript	etag:W/%22617f6da1-116ca%22	https://www.idn.media/static/js/main.c44d494c.chunk.js	D:/Deskop/Data_Ibnu/Data_Pemrograman/web-scrapper/ads/www.idn.media/static/js/main.c44d494c.chunk.js	(from https://www.idn.media/favicon.png)
19:26:20	981144/981144	---MCZ	200	added ('OK')	application/javascript	etag:W/%22617f6da1-ef898%22	https://www.idn.media/static/js/2.b076fe50.chunk.js	D:/Deskop/Data_Ibnu/Data_Pemrograman/web-scrapper/ads/www.idn.media/static/js/2.b076fe50.chunk.js	(from https://www.idn.media/favicon.png)
19:26:21	67/67	---M--	200	added ('OK')	text/plain	etag:%22617f6d46-43%22	https://www.idn.media/robots.txt		(from https://www.idn.media/favicon.png)
