date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:13:24	27798/27798	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20Jul%202022%2005:13:26%20GMT	https://template.drcash.sh/bdf658f1-2cef-480f-aaec-a274b0bd655c	D:/Deskop/Data_Ibnu/Data_Pemrograman/web-scrapper/project-arteril/template.drcash.sh/bdf658f1-2cef-480f-aaec-a274b0bd655c.html	(from )
12:13:24	20/20	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20Jul%202022%2005:13:26%20GMT	https://template.drcash.sh/robots.txt		(from )
12:13:25	272200/272200	---M-Z	200	added ('OK')	image/png	etag:%22b683a9acbac67a2d1ab33cd2b93d87ab%22	https://static.infothroat.com/pages/bdf658f1-2cef-480f-aaec-a274b0bd655c/img/product.png	D:/Deskop/Data_Ibnu/Data_Pemrograman/web-scrapper/project-arteril/static.infothroat.com/pages/bdf658f1-2cef-480f-aaec-a274b0bd655c/img/product.png	(from https://template.drcash.sh/bdf658f1-2cef-480f-aaec-a274b0bd655c)
12:13:26	4968/4968	---MC-	200	added ('OK')	text/css	etag:W/%2241beb4cb4c6cd953184f6ce1ac5c4e9d%22	https://static.infothroat.com/pages/bdf658f1-2cef-480f-aaec-a274b0bd655c/css/style.css	D:/Deskop/Data_Ibnu/Data_Pemrograman/web-scrapper/project-arteril/static.infothroat.com/pages/bdf658f1-2cef-480f-aaec-a274b0bd655c/css/style.css	(from https://template.drcash.sh/bdf658f1-2cef-480f-aaec-a274b0bd655c)
12:13:27	8631/8631	---MC-	200	added ('OK')	text/css	etag:W/%2265301f8ee01612a4725030664c6b9446%22	https://static.infothroat.com/pages/bdf658f1-2cef-480f-aaec-a274b0bd655c/css/spin.css	D:/Deskop/Data_Ibnu/Data_Pemrograman/web-scrapper/project-arteril/static.infothroat.com/pages/bdf658f1-2cef-480f-aaec-a274b0bd655c/css/spin.css	(from https://template.drcash.sh/bdf658f1-2cef-480f-aaec-a274b0bd655c)
12:13:28	27544/27544	---M-Z	200	added ('OK')	image/jpeg	etag:%229a3f20ec9d05a82660e6328ff4f8ae46%22	https://static.infothroat.com/pages/bdf658f1-2cef-480f-aaec-a274b0bd655c/img/cont1.jpg	D:/Deskop/Data_Ibnu/Data_Pemrograman/web-scrapper/project-arteril/static.infothroat.com/pages/bdf658f1-2cef-480f-aaec-a274b0bd655c/img/cont1.jpg	(from https://template.drcash.sh/bdf658f1-2cef-480f-aaec-a274b0bd655c)
12:13:29	21647/21647	---M-Z	200	added ('OK')	image/jpeg	etag:%22b5efb30f7cdcc920b1916e085a26fd54%22	https://static.infothroat.com/pages/bdf658f1-2cef-480f-aaec-a274b0bd655c/img/cont2.jpg	D:/Deskop/Data_Ibnu/Data_Pemrograman/web-scrapper/project-arteril/static.infothroat.com/pages/bdf658f1-2cef-480f-aaec-a274b0bd655c/img/cont2.jpg	(from https://template.drcash.sh/bdf658f1-2cef-480f-aaec-a274b0bd655c)
12:13:31	25817/25817	---M-Z	200	added ('OK')	image/jpeg	etag:%22d8382e64429cb6bec24cd7b7b166a09d%22	https://static.infothroat.com/pages/bdf658f1-2cef-480f-aaec-a274b0bd655c/img/cont3.jpg	D:/Deskop/Data_Ibnu/Data_Pemrograman/web-scrapper/project-arteril/static.infothroat.com/pages/bdf658f1-2cef-480f-aaec-a274b0bd655c/img/cont3.jpg	(from https://template.drcash.sh/bdf658f1-2cef-480f-aaec-a274b0bd655c)
12:13:32	20262/20262	---M-Z	200	added ('OK')	image/png	etag:%226e4bd4696b85b323bc88043e11afd585%22	https://static.infothroat.com/pages/bdf658f1-2cef-480f-aaec-a274b0bd655c/img/prizewheel.png	D:/Deskop/Data_Ibnu/Data_Pemrograman/web-scrapper/project-arteril/static.infothroat.com/pages/bdf658f1-2cef-480f-aaec-a274b0bd655c/img/prizewheel.png	(from https://template.drcash.sh/bdf658f1-2cef-480f-aaec-a274b0bd655c)
12:13:34	2232/2232	---M-Z	200	added ('OK')	image/png	etag:%225548652e0aca4107fe38d31b7ca8c331%22	https://static.infothroat.com/pages/bdf658f1-2cef-480f-aaec-a274b0bd655c/img/wheel-cursor.png	D:/Deskop/Data_Ibnu/Data_Pemrograman/web-scrapper/project-arteril/static.infothroat.com/pages/bdf658f1-2cef-480f-aaec-a274b0bd655c/img/wheel-cursor.png	(from https://template.drcash.sh/bdf658f1-2cef-480f-aaec-a274b0bd655c)
12:13:35	1421/1421	---M-Z	200	added ('OK')	image/jpeg	etag:%222eca1a7a77da8e49e64329c3d95fd853%22	https://static.infothroat.com/pages/bdf658f1-2cef-480f-aaec-a274b0bd655c/img/1.jpg	D:/Deskop/Data_Ibnu/Data_Pemrograman/web-scrapper/project-arteril/static.infothroat.com/pages/bdf658f1-2cef-480f-aaec-a274b0bd655c/img/1.jpg	(from https://template.drcash.sh/bdf658f1-2cef-480f-aaec-a274b0bd655c)
12:13:36	1378/1378	---M-Z	200	added ('OK')	image/jpeg	etag:%22b533631b13398b6ebd55ec0f0b1a7667%22	https://static.infothroat.com/pages/bdf658f1-2cef-480f-aaec-a274b0bd655c/img/2.jpg	D:/Deskop/Data_Ibnu/Data_Pemrograman/web-scrapper/project-arteril/static.infothroat.com/pages/bdf658f1-2cef-480f-aaec-a274b0bd655c/img/2.jpg	(from https://template.drcash.sh/bdf658f1-2cef-480f-aaec-a274b0bd655c)
12:13:36	1311/1311	---M-Z	200	added ('OK')	image/jpeg	etag:%229de32f4072c2c3c86be546d4fb648752%22	https://static.infothroat.com/pages/bdf658f1-2cef-480f-aaec-a274b0bd655c/img/3.jpg	D:/Deskop/Data_Ibnu/Data_Pemrograman/web-scrapper/project-arteril/static.infothroat.com/pages/bdf658f1-2cef-480f-aaec-a274b0bd655c/img/3.jpg	(from https://template.drcash.sh/bdf658f1-2cef-480f-aaec-a274b0bd655c)
12:13:37	1388/1388	---M-Z	200	added ('OK')	image/jpeg	etag:%22322562771057c2932b7b4f341a1b23dd%22	https://static.infothroat.com/pages/bdf658f1-2cef-480f-aaec-a274b0bd655c/img/4.jpg	D:/Deskop/Data_Ibnu/Data_Pemrograman/web-scrapper/project-arteril/static.infothroat.com/pages/bdf658f1-2cef-480f-aaec-a274b0bd655c/img/4.jpg	(from https://template.drcash.sh/bdf658f1-2cef-480f-aaec-a274b0bd655c)
12:13:38	1377/1377	---M-Z	200	added ('OK')	image/jpeg	etag:%2255eccd24af4e575b83bd013372521f7c%22	https://static.infothroat.com/pages/bdf658f1-2cef-480f-aaec-a274b0bd655c/img/5.jpg	D:/Deskop/Data_Ibnu/Data_Pemrograman/web-scrapper/project-arteril/static.infothroat.com/pages/bdf658f1-2cef-480f-aaec-a274b0bd655c/img/5.jpg	(from https://template.drcash.sh/bdf658f1-2cef-480f-aaec-a274b0bd655c)
12:13:39	1400/1400	---M-Z	200	added ('OK')	image/jpeg	etag:%225c04212534008525bef8afc5df33035c%22	https://static.infothroat.com/pages/bdf658f1-2cef-480f-aaec-a274b0bd655c/img/6.jpg	D:/Deskop/Data_Ibnu/Data_Pemrograman/web-scrapper/project-arteril/static.infothroat.com/pages/bdf658f1-2cef-480f-aaec-a274b0bd655c/img/6.jpg	(from https://template.drcash.sh/bdf658f1-2cef-480f-aaec-a274b0bd655c)
12:13:40	1247/1247	---M-Z	200	added ('OK')	image/jpeg	etag:%227dfa3cc305d376e2a4b4d7f004cb5222%22	https://static.infothroat.com/pages/bdf658f1-2cef-480f-aaec-a274b0bd655c/img/7.jpg	D:/Deskop/Data_Ibnu/Data_Pemrograman/web-scrapper/project-arteril/static.infothroat.com/pages/bdf658f1-2cef-480f-aaec-a274b0bd655c/img/7.jpg	(from https://template.drcash.sh/bdf658f1-2cef-480f-aaec-a274b0bd655c)
12:13:41	96631/96631	---MC-	200	added ('OK')	text/javascript	etag:W/%22b05c0af3b0a87be10b8451b630dc31d6%22	https://static.infothroat.com/pages/bdf658f1-2cef-480f-aaec-a274b0bd655c/js/jquery-1.12.4.min.js	D:/Deskop/Data_Ibnu/Data_Pemrograman/web-scrapper/project-arteril/static.infothroat.com/pages/bdf658f1-2cef-480f-aaec-a274b0bd655c/js/jquery-1.12.4.min.js	(from https://template.drcash.sh/bdf658f1-2cef-480f-aaec-a274b0bd655c)
